subNum	 version	 completed	 trialNo	 easySide	 targPresent	key	 targSide	 RT	 accuracy	 var	 con
6	 T	2	146	 L	1	 l	 right	1.579	1	 x	 half
6	 T	2	147	 L	0	 r	 x	1.549	1	 x	 half
6	 T	2	148	 x	1	 l	 left	1.518	1	6	 full
6	 T	2	149	 L	0	 r	 x	1.649	1	 x	 half
6	 T	2	150	 x	1	 l	 right	1.709	1	1.7	 full
6	 T	2	151	 x	1	 l	 left	1.558	1	1.7	 full
6	 T	2	152	 x	0	 r	 x	1.638	1	1.7	 full
6	 T	2	153	 L	0	 r	 x	1.561	1	 x	 half
6	 T	2	154	 x	1	 l	 right	1.518	1	6	 full
6	 T	2	155	 x	0	 r	 x	1.599	1	1.7	 full
6	 T	2	156	 L	0	 r	 x	1.679	1	 x	 half
6	 T	2	157	 x	1	 l	 left	1.539	1	6	 full
6	 T	2	158	 x	1	 l	 left	1.618	1	1.7	 full
6	 T	2	159	 x	1	 l	 left	1.498	1	1.7	 full
6	 T	2	160	 x	0	 r	 x	1.529	1	6	 full
6	 T	2	161	 R	1	 l	 left	1.719	1	 x	 half
6	 T	2	162	 x	1	 l	 left	1.43	1	1.7	 full
6	 T	2	163	 x	0	 r	 x	1.478	1	6	 full
6	 T	2	164	 x	0	 r	 x	1.508	1	6	 full
6	 T	2	165	 x	0	 r	 x	1.459	1	6	 full
6	 T	2	166	 x	0	 r	 x	1.675	1	1.7	 full
6	 T	2	167	 x	0	 r	 x	1.569	1	6	 full
6	 T	2	168	 R	1	 l	 right	1.539	1	 x	 half
6	 T	2	169	 L	0	 r	 x	1.589	1	 x	 half
6	 T	2	170	 x	1	 l	 left	1.518	1	6	 full
6	 T	2	171	 L	0	 r	 x	1.66	1	 x	 half
6	 T	2	172	 x	1	 l	 left	1.459	1	6	 full
6	 T	2	173	 x	1	 l	 right	1.529	1	1.7	 full
6	 T	2	174	 x	0	 r	 x	1.599	1	1.7	 full
6	 T	2	175	 L	0	 r	 x	1.598	1	 x	 half
6	 T	2	176	 x	0	 r	 x	1.728	1	1.7	 full
6	 T	2	177	 R	1	 l	 right	1.389	1	 x	 half
